date,No. of days,txVolume,txCount,marketcap,exchangeVolume,generatedCoins,fees,Bitcoin Google Trends,Price,GDPC1
3/21/2014,328,390612666.8,72448,7376710000,38414100,4375,13.92831277,8,571,175
3/22/2014,329,313470121.7,73558,7164770000,17360700,4350,14.86472467,8,565,175
3/23/2014,330,235337202.8,68382,7099230000,9288400,4400,17.75926479,8,561,175
3/24/2014,331,173482628.4,56486,7061380000,22706900,5350,11.16626473,8,583,175
3/25/2014,332,349401841.7,68700,7346810000,14020100,4900,12.54475378,8,584,175
3/26/2014,333,285387833.5,72117,7329720000,16401100,3575,14.36124533,8,581,175
3/27/2014,334,212179453.9,69685,7291520000,62225400,4225,15.62848547,8,471,175
3/28/2014,335,352680004.7,69860,5997850000,58828300,4000,13.56087839,8,496,175
3/29/2014,336,379692465.8,69173,6308890000,11147100,4650,12.767581,8,491,175
3/30/2014,337,183457408.1,53846,6193560000,42958300,4175,9.85227847,7,460,175
